2014-02-01 11:45:27|00021802|00975952|5402-5840-7320-7883|09863.09
2014-02-01 12:55:27|00979574|02675873|7303-3272-0013-7894|00390.03
2014-02-01 13:25:27|60478083|00048937|1739-2348-8934-9078|00073.20
2014-02-01 14:15:27|67320957|00009662|2905-0123-7409-1324|00672.30
2014-02-01 15:05:27|00609479|07398457|7664-5219-6793-4323|01032.78
2014-02-01 16:75:27|00039052|99395652|9032-2102-6943-2685|67904.30
2014-02-01 17:15:27|00367259|93650836|8303-9809-8748-1471|00235.48
2014-02-01 18:23:27|03807004|00279673|6943-3290-2434-1270|00278.59
2014-02-01 19:43:27|42006300|14976300|9823-4243-9923-3290|00237.03
2014-02-01 20:40:27|64053529|60290709|1348-3221-8923-8439|00537.94
